year,cannes,film
1968,0,CAPRICIOUS SUMMER
1968,0,TEVYE AND HIS SEVEN DAUGHTERS
1968,0,THE GIRL ON A MOTORCYCLE
1968,0,THE LONG DAY'S DYING
1968,0,TRILOGY 
1968,0,KURONEKO
1968,0,MATTHEW'S DAYS
1969,0,ÅDALEN 31
1969,0,ALL MY COMPATRIOTS
1969,0,THE APPOINTMENT
1969,0,CALCUTTA 
1969,0,DILLINGER IS DEAD
1969,0,DON'T LET THE ANGELS FALL
1969,0,ANTONIO DAS MORTES
1969,0,EASY RIDER
1969,0,END OF A PRIEST
1969,0,FLASHBACK 
1969,0,THE GREAT LOVE 
1969,0,HUNTING FLIES 
1969,0,HYMN TO A TIRED MAN
1969,1,IF....
1969,0,ISADORA 
1969,0,IT RAINS IN MY VILLAGE
1969,0,MACHINE GUN MCCAIN
1969,0,MAN ON HORSEBACK
1969,0,THE MAN WHO THOUGHT LIFE
1969,0,MATZOR
1969,0,METTI UNA SERA A CENA
1969,0,MY NIGHT AT MAUD'S
1969,0,THE PRIME OF MISS JEAN BRODIE 
1969,0,SLAVES 
1969,0,SPAIN AGAIN
1969,0,Z 
1970,0,THE ALIENIST 
1970,0,THE BUTTERCUP CHAIN
1970,0,DON SEGUNDO SOMBRA 
1970,0,THE DREAMER 
1970,0,"ELISE, OR REAL LIFE"
1970,0,THE FALCONS 
1970,0,FRUIT OF PARADISE
1970,0,HARRY MUNTER
1970,0,HOA-BINH 
1970,0,INVESTIGATION OF A CITIZEN ABOVE SUSPICION
1970,0,THE LAND 
1970,0,LANDSCAPE AFTER THE BATTLE
1970,0,LAST LEAP
1970,0,LEO THE LAST
1970,0,LONG LIVE THE BRIDE AND GROOM
1970,0,MALATESTA 
1970,1,MASH 
1970,0,METELLO
1970,0,THE PALACE OF ANGELS
1970,0,THE PIZZA TRIANGLE
1970,0,A SIMPLE STORY 
1970,0,THE STRAWBERRY STATEMENT 
1970,0,"TELL ME THAT YOU LOVE ME, JUNIE MOON"
1970,0,THE THINGS OF LIFE
1970,0,TULIPS OF HAARLEM
1971,0,APOKAL
1971,0,BETWEEN MIRACLES
1971,0,THE BOAT ON THE GRASS
1971,0,LA CALIFFA
1971,0,DEATH IN VENICE 
1971,0,"DRIVE, HE SAID"
1971,0,FAMILY LIFE 
1971,0,THE FLIGHT 
1971,1,THE GO-BETWEEN 
1971,0,"GOYA, A STORY OF SOLITUDE"
1971,0,JOE HILL 
1971,0,JOHNNY GOT HIS GUN 
1971,0,LOOT 
1971,0,LOVE 
1971,0,THE MARRIED COUPLE OF THE YEAR TWO
1971,0,MIRA 
1971,0,MURMUR OF THE HEART
1971,0,THE PANIC IN NEEDLE PARK
1971,0,PINDORAMA 
1971,0,"RAPHAEL, OR THE DEBAUCHED ONE"
1971,0,SACCO E VANZETTI 
1971,0,SICK ANIMALS
1971,0,A SOUL TO DEVILS
1971,0,TAKING OFF 
1971,0,WAKE IN FRIGHT
1971,0,WALKABOUT 
1972,0,DEAR LOUISE
1972,0,A FAN'S NOTES 
1972,0,HAVOC 
1972,0,HEARTH FIRES
1972,0,I LOVE YOU ROSA
1972,0,IMAGES 
1972,0,JEREMIAH JOHNSON 
1972,0,"KING, QUEEN, KNAVE "
1972,0,MALPERTUIS 
1972,1,THE MATTEI AFFAIR
1972,0,OIL LAMPS 
1972,0,PEARL IN THE CROWN
1972,0,RED PSALM
1972,0,THE RULING CLASS 
1972,0,THE SEDUCTION OF MIMI
1972,0,SILENCE 
1972,0,SLAUGHTERHOUSE-FIVE 
1972,0,SOLARIS 
1972,0,THE SURVEYORS
1972,0,TO FIND A MAN
1972,0,TROTTA 
1972,0,THE TRUE NATURE OF BERNADETTE
1972,0,THE VISITORS 
1972,0,WE WON'T GROW OLD TOGETHER
1972,1,THE WORKING CLASS GOES TO HEAVEN
1973,0,ANNA AND THE WOLVES
1973,0,BELLE 
1973,0,THE DEATH OF A LUMBERJACK
1973,0,THE EFFECT OF GAMMA RAYS ON MAN-IN-THE-MOON MARIGOLDS
1973,0,ELECTRA GLIDE IN BLUE
1973,0,FANTASTIC PLANET
1973,0,FAR WEST 
1973,0,GODSPELL 
1973,0,LA GRANDE BOUFFE
1973,1,THE HIRELING
1973,0,HOSPITALS: THE WHITE MAFIA
1973,0,THE HOUR-GLASS SANATORIUM
1973,0,THE INVITATION 
1973,0,JEREMY 
1973,0,LOVE AND ANARCHY
1973,0,THE MOTHER AND THE WHORE
1973,0,MONOLOGUE 
1973,0,O LUCKY MAN!
1973,0,ONE HAMLET LESS
1973,0,LA OTRA IMAGEN
1973,0,PETŐFI '73
1973,1,SCARECROW 
1973,0,THE VOWS
1973,0,WE WANT THE COLONELS
1974,0,ALI: FEAR EATS THE SOUL
1974,0,ARABIAN NIGHTS 
1974,0,THE BEAR CAGE
1974,0,CATS' PLAY
1974,1,THE CONVERSATION
1974,0,"DAUGHTERS, DAUGHTERS"
1974,0,GARAM HAWA
1974,0,HIMIKO 
1974,0,THE HOLY OFFICE 
1974,0,HOPELESSLY LOST
1974,0,THE HOUR OF LIBERATION HAS ARRIVED 
1974,0,THE LAST DETAIL
1974,0,THE LAST WORD 
1974,0,MAHLER 
1974,0,MILAREPA 
1974,0,THE NICKEL RIDE
1974,0,THE NINE LIVES OF FRITZ THE CAT
1974,0,ONCE UPON A TIME IN THE EAST 
1974,0,THE OTHERS 
1974,0,LA PRIMA ANGÉLICA
1974,0,SOMEWHERE BEYOND LOVE
1974,0,STAVISKY
1974,0,THE SUGARLAND EXPRESS
1974,0,SYMPTOMS 
1974,0,THIEVES LIKE US 
1974,0,VIOLINS AT THE BALL
1975,0,ALICE DOESN'T LIVE HERE ANYMORE
1975,0,ALOÏSE 
1975,0,THE AMULET OF OGUM
1975,0,CHER VICTOR
1975,1,CHRONICLE OF THE YEARS OF FIRE
1975,0,DO YOU HEAR THE DOGS BARKING?
1975,0,"ELECTRA, MY LOVE"
1975,0,THE ENIGMA OF KASPAR HAUSER
1975,0,A HAPPY DIVORCE
1975,0,LENNY 
1975,0,LOTTE IN WEIMAR 
1975,0,MAN FRIDAY 
1975,0,MARIKEN VAN NIEUMEGHEN 
1975,0,LES ORDRES
1975,0,THE PASSENGER 
1975,0,PASTORAL: TO DIE IN THE COUNTRY
1975,0,SCENT OF A WOMAN 
1975,0,SECTION SPÉCIALE
1975,0,THE STORY OF SIN
1975,0,THEY FOUGHT FOR THEIR COUNTRY
1975,0,A TOUCH OF ZEN
1975,0,YUPPI DU
1976,0,BABATU
1976,0,"BRUTTI, SPORCHI E CATTIVI"
1976,0,BUGSY MALONE
1976,0,A CHILD IN THE CROWD
1976,0,CRÍA CUERVOS
1976,0,CRÍA CUERVOS
1976,0,THE INHERITANCE 
1976,0,KINGS OF THE ROAD
1976,0,LETTERS FROM MARUSIA
1976,0,THE MARQUISE OF O 
1976,0,MONSIEUR KLEIN
1976,0,MRS. DERY WHERE ARE YOU?
1976,0,"NEXT STOP, GREENWICH VILLAGE"
1976,0,NISHAANT
1976,0,PASCUAL DUARTE
1976,0,"PRIVATE VICES, PUBLIC PLEASURES"
1976,0,SHADOW OF ANGELS
1976,0,SWEET REVENGE 
1976,1,TAXI DRIVER
1976,0,THE TENANT
1977,0,3 WOMEN 
1977,0,THE AMERICAN FRIEND
1977,0,AN AVERAGE LITTLE MAN
1977,0,BACKBONE 
1977,0,BANG! 
1977,0,BLACK JOY 
1977,0,BOUND FOR GLORY 
1977,0,BUDAPEST TALES
1977,0,CAR WASH 
1977,0,THE DUELLISTS
1977,0,"ELISA, VIDA MÍA"
1977,0,GROUP PORTRAIT WITH A LADY
1977,0,THE HUNTERS 
1977,0,IPHIGENIA 
1977,0,J.A. MARTIN PHOTOGRAPHER
1977,0,THE LACEMAKER
1977,0,THE LORRY
1977,1,PADRE PADRONE
1977,0,THE PURPLE TAXI
1977,0,SOLEMN COMMUNION
1977,0,A SPECIAL DAY
1977,0,LE VIEUX PAYS OÙ RIMBAUD EST MORT
1977,0,WOUNDED GAME
1978,0,BLINDFOLDED EYES
1978,0,BRAVO MAESTRO
1978,0,BYE BYE MONKEY
1978,0,THE CHANT OF JIMMIE BLACKSMITH
1978,0,COMING HOME 
1978,0,DESPAIR 
1978,0,A DREAM OF PASSION
1978,0,ECCE BOMBO
1978,0,EMPIRE OF PASSION
1978,0,A HUNTING ACCIDENT
1978,0,THE LEFT-HANDED WOMAN
1978,0,MIDNIGHT EXPRESS 
1978,0,MOLIÈRE 
1978,0,PRETTY BABY 
1978,0,THE RECOURSE TO THE METHOD
1978,0,THE REMAINS FROM THE SHIPWRECK
1978,0,THE SHOUT
1978,0,SPIRAL 
1978,1,THE TREE OF WOODEN CLOGS
1978,0,AN UNMARRIED WOMAN
1978,0,A VERY MORAL NIGHT
1978,0,VIOLETTE NOZIÈRE
1978,0,WHO'LL STOP THE RAIN
1979,1,APOCALYPSE NOW
1979,0,ARVEN 
1979,0,THE BRONTE SISTERS
1979,0,THE CHINA SYNDROME
1979,0,DAYS OF HEAVEN
1979,0,DEAR FATHER 
1979,0,THE EUROPEANS 
1979,0,HUNGARIAN RHAPSODY 
1979,0,THE HUSSY
1979,0,MY BRILLIANT CAREER 
1979,0,NORMA RAE
1979,0,OCCUPATION IN 26 PICTURES
1979,0,SÉRIE NOIRE 
1979,0,SIBERIADE
1979,0,THE SURVIVORS 
1979,1,THE TIN DRUM 
1979,0,TRAFFIC JAM 
1979,0,VICTORIA 
1979,0,WITHOUT ANESTHESIA
1979,0,WOMAN BETWEEN WOLF AND DOG
1979,0,WOYZECK 
1980,1,ALL THAT JAZZ 
1980,0,BEING THERE
1980,0,THE BIG RED ONE
1980,0,BREAKER MORANT 
1980,0,BYE BYE BRASIL
1980,0,THE CONSTANT FACTOR
1980,0,DEDICATORIA
1980,0,EK DIN PRATIDIN
1980,0,FANTASTICA 
1980,0,THE HEIRESSES 
1980,0,JAGUAR 
1980,1,KAGEMUSHA
1980,0,A LEAP IN THE DARK
1980,0,THE LONG RIDERS
1980,0,LOULOU 
1980,0,THE MISSING LINK 
1980,0,MON ONCLE D'AMÉRIQUE
1980,0,OUT OF THE BLUE 
1980,0,PUT ON ICE
1980,0,SAUVE QUI PEUT 
1980,0,SPECIAL TREATMENT
1980,0,LA TERRAZZA
1980,0,A WEEK'S VACATION
1981,0,ANGELS OF IRON
1981,0,BEAU-PÈRE
1981,0,CHARIOTS OF FIRE
1981,0,CSEREPEK
1981,0,EXCALIBUR 
1981,0,FAKTAS
1981,0,FLAME TOP
1981,0,HEAVEN'S GATE 
1981,0,LIGHT YEARS AWAY
1981,0,LOOKS AND SMILES
1981,1,MAN OF IRON
1981,0,MEPHISTO 
1981,0,MONTENEGRO 
1981,0,NATIONAL HERITAGE 
1981,0,NEIGE 
1981,0,PASSION OF LOVE
1981,0,POSSESSION 
1981,0,QUARTET 
1981,0,THE SKIN
1981,0,THIEF 
1981,0,TRAGEDY OF A RIDICULOUS MAN
1981,0,LES UNS ET LES AUTRES
1982,0,À TOUTE ALLURE
1982,0,ANOTHER WAY 
1982,0,BRITANNIA HOSPITAL
1982,0,CECILIA 
1982,0,DAY OF THE IDIOTS
1982,0,FITZCARRALDO
1982,0,HAMMETT 
1982,0,IDENTIFICATION OF A WOMAN
1982,0,A ILHA DOS AMORES
1982,0,INVITATION AU VOYAGE
1982,1,MISSING 
1982,0,MOONLIGHTING 
1982,0,THE NIGHT OF THE SHOOTING STARS
1982,0,PASSION 
1982,0,THE RETURN OF THE SOLDIER 
1982,0,SANDSTORM 
1982,0,SHOOT THE MOON
1982,0,SMITHEREENS 
1982,0,SWEET INQUEST ON VIOLENCE
1982,0,THAT NIGHT IN VARENNES
1982,0,THE TRUE STORY OF AH Q 
1982,1,YOL
1983,0,L'ARGENT 
1983,1,THE BALLAD OF NARAYAMA 
1983,0,CARMEN 
1983,0,CROSS CREEK 
1983,0,THE DEATH OF MARIO RICCI
1983,0,DUVAR
1983,0,ERÉNDIRA 
1983,0,FORBIDDEN RELATIONS
1983,0,HEAT AND DUST 
1983,0,THE KING OF COMEDY 
1983,0,KHARIJ
1983,0,"MERRY CHRISTMAS, MR. LAWRENCE"
1983,0,MONTY PYTHON'S THE MEANING OF LIFE
1983,0,MOON IN THE GUTTER
1983,0,NOSTALGHIA
1983,0,ONE DEADLY SUMMER
1983,0,THE SOUTH 
1983,0,STATION FOR TWO
1983,0,THE STORY OF PIERA
1983,0,TENDER MERCIES
1983,0,THE WOUNDED MAN 
1983,0,THE YEAR OF LIVING DANGEROUSLY 
1984,0,ANOTHER COUNTRY 
1984,0,DIARY FOR MY CHILDREN
1984,0,THE BOUNTY 
1984,0,CAL 
1984,0,DAY IS LONGER THAN NIGHT
1984,0,THE ELEMENT OF CRIME
1984,0,GHARE BAIRE 
1984,0,HENRY IV 
1984,1,"PARIS, TEXAS "
1984,0,THE PIRATE 
1984,0,QUILOMBO 
1984,0,LOS SANTOS INOCENTES
1984,0,SUCCESS IS THE BEST REVENGE
1984,0,A SUNDAY IN THE COUNTRY
1984,0,THIS IS MY COUNTRY 
1984,0,UNDER THE VOLCANO 
1984,0,VIGIL 
1984,0,VOYAGE TO CYTHERA
1984,0,WHERE THE GREEN ANTS DREAM
1985,0,A.K. 
1985,0,AD SOF HALAYLAH 
1985,0,"DEAR, DEAREST, BELOVED, UNIQUE..."
1985,0,IL DIAVOLO SULLE COLLINE
1985,0,EMPTY QUARTER: A WOMAN IN AFRICA 
1985,0,FIRE FESTIVAL 
1985,0,HERITAGE 
1985,0,LATINO 
1985,0,DAS MAL DES TODES 
1985,0,MONSIEUR DE POURCEAUGNAC 
1985,0,THE MYSTERY OF ALEXINA
1985,0,ORIANA 
1985,0,PADRE NUESTRO 
1985,0,A PRIVATE FUNCTION
1985,0,TEA IN THE HAREM
1985,0,TOKYO-GA
1986,0,AFTER HOURS 
1986,0,BORIS GODUNOV 
1986,0,DOWN BY LAW 
1986,0,THE FRINGE DWELLERS
1986,0,FOOL FOR LOVE 
1986,0,GENESIS 
1986,0,I LOVE YOU 
1986,0,THE LAST IMAGE
1986,0,LOVE ME FOREVER OR NEVER
1986,0,"MAX, MON AMOUR"
1986,0,TENUE DE SOIRÉE
1986,1,THE MISSION 
1986,0,MONA LISA 
1986,0,OTELLO 
1986,0,POOR BUTTERFLY 
1986,0,ROSA LUXEMBURG 
1986,0,RUNAWAY TRAIN 
1986,0,THE SACRIFICE
1986,0,SCENE OF THE CRIME 
1986,0,THÉRÈSE 
1987,0,ARIA 
1987,0,BARFLY 
1987,0,THE BELLY OF AN ARCHITECT
1987,0,CHRONICLE OF A DEATH FORETOLD 
1987,0,DARK EYES 
1987,0,LA FAMIGLIA 
1987,0,FIELD OF HONOR 
1987,0,THE GLASS MENAGERIE 
1987,0,REPENTANCE 
1987,0,THE LAST MANUSCRIPT
1987,0,A MAN IN LOVE 
1987,0,PIERRE AND DJEMILA
1987,0,PRICK UP YOUR EARS
1987,0,SHINRAN: PATH TO PURITY
1987,0,SHY PEOPLE
1987,0,SUBWAY TO THE STARS
1987,0,UNDER THE SUN OF SATAN
1987,0,WINGS OF DESIRE
1987,0,YEELEN
1987,0,ZEGEN
1988,0,THE ABYSS 
1988,0,BIRD 
1988,0,THE CANNIBALS 
1988,0,CHOCOLAT 
1988,0,EL DORADO 
1988,0,DROWNING BY NUMBERS
1988,0,L'ENFANCE DE L'ART
1988,0,HANUSSEN 
1988,0,KING OF THE CHILDREN
1988,0,LOVE AND FEAR 
1988,0,EL LUTE II: TOMORROW I'LL BE FREE
1988,0,MILES FROM HOME
1988,0,PASCALI'S ISLAND 
1988,0,THE PASSENGER – WELCOME TO GERMANY
1988,0,PATTY HEARST 
1988,1,PELLE THE CONQUEROR
1988,0,THE NAVIGATOR: A MEDIEVAL ODYSSEY
1988,0,A SHORT FILM ABOUT KILLING
1988,0,SUR 
1988,0,A WORLD APART 
1988,0,WUTHERING HEIGHTS 
1989,0,BLACK RAIN 
1989,0,CHIMÈRE 
1989,0,CINEMA PARADISO
1989,0,DO THE RIGHT THING
1989,0,EVIL ANGELS 
1989,0,FRANCESCO 
1989,0,JESUS OF MONTREAL
1989,0,KUARUP 
1989,0,LOST ANGELS
1989,0,MONSIEUR HIRE
1989,0,MOON CHILD 
1989,0,MYSTERY TRAIN 
1989,0,REUNION 
1989,0,ROSALIE GOES SHOPPING
1989,1,"SEX, LIES, AND VIDEOTAPE"
1989,0,SPIDER'S WEB 
1989,0,SPLENDOR 
1989,0,SWEETIE 
1989,0,TIME OF THE GYPSIES
1989,0,TOO BEAUTIFUL FOR YOU
1989,0,TORRENTS OF SPRING 
1989,0,THE WOMEN ON THE ROOF
1990,0,CAPTIVE OF THE DESERT
1990,0,COME SEE THE PARADISE
1990,0,CYRANO DE BERGERAC 
1990,0,DADDY NOSTALGIE
1990,0,EVERYBODY'S FINE 
1990,0,HIDDEN AGENDA 
1990,0,INTERROGATION 
1990,0,JU DOU
1990,0,THE KING'S WHORE
1990,0,MOTHER 
1990,0,NOUVELLE VAGUE 
1990,0,RODRIGO D: NO FUTURE
1990,0,THE STING OF DEATH
1990,0,TAXI BLUES
1990,0,TILAÏ
1990,0,UCHO
1990,0,WHITE HUNTER BLACK HEART
1990,1,WILD AT HEART 
1991,0,THE ASSASSIN OF THE TSAR
1991,0,ANNA KARAMAZOFF
1991,1,BARTON FINK
1991,0,LA BELLE NOISEUSE
1991,0,BIX 
1991,0,COLD MOON
1991,0,THE DOUBLE LIFE OF VÉRONIQUE
1991,0,EUROPA 
1991,0,THE FLESH
1991,0,GUILTY BY SUSPICION
1991,0,HOMICIDE 
1991,0,JUNGLE FEVER
1991,0,LIFE ON A STRING 
1991,0,MALINA 
1991,0,OUT OF LIFE
1991,0,A RAGE IN HARLEM 
1991,0,THE SUSPENDED STEP OF THE STORK
1991,0,VAN GOGH 
1991,0,THE YES MAN
1992,0,A STRANGER AMONG US
1992,0,BASIC INSTINCT
1992,1,THE BEST INTENTIONS
1992,0,CRUSH 
1992,0,DARK AT NOON
1992,0,DREAM OF LIGHT
1992,0,IN THE COUNTRY OF JULIETS
1992,0,AN INDEPENDENT LIFE
1992,0,THE JOURNEY 
1992,0,HOWARDS END 
1992,0,HYÈNES
1992,0,THE SENTINEL 
1992,0,THE LONG DAY CLOSES 
1992,0,LUNA PARK 
1992,0,LÉOLO
1992,0,OF MICE AND MEN 
1992,0,THE PLAYER 
1992,0,THE RETURN OF CASANOVA
1992,0,SIMPLE MEN
1992,0,THE STOLEN CHILDREN
1992,0,TWIN PEAKS: FIRE WALK WITH ME
1993,0,BODY SNATCHERS 
1993,0,BROKEN HIGHWAY
1993,0,DYUBA-DYUBA
1993,0,THE ESCORT 
1993,0,FALLING DOWN
1993,0,"FARAWAY, SO CLOSE!"
1993,1,FAREWELL MY CONCUBINE 
1993,0,FIORILE
1993,0,FRAUDS 
1993,0,FRIENDS 
1993,0,KING OF THE HILL 
1993,0,LIBERA ME 
1993,0,"LOUIS, THE CHILD KING"
1993,0,MAGNIFICAT 
1993,0,THE MAN BY THE SHORE
1993,0,MAZEPPA 
1993,0,MUCH ADO ABOUT NOTHING 
1993,0,MY FAVORITE SEASON
1993,0,NAKED 
1993,1,THE PIANO
1993,0,THE PUPPETMASTER 
1993,0,RAINING STONES
1993,0,SPLITTING HEIRS
1994,0,ASSIA AND THE HEN WITH THE GOLDEN EGGS
1994,0,BARNABO OF THE MOUNTAINS
1994,0,THE BROWNING VERSION 
1994,0,BURNT BY THE SUN
1994,0,A CONFUCIAN CONFUSION
1994,0,DEAD TIRED
1994,0,CARO DIARIO
1994,0,EXOTICA 
1994,0,THE HUDSUCKER PROXY
1994,0,TO LIVE 
1994,0,MRS. PARKER AND THE VICIOUS CIRCLE
1994,0,SWAHAM
1994,0,THE PATRIOTS 
1994,1,PULP FICTION
1994,0,A PURE FORMALITY
1994,0,QUEEN MARGOT 
1994,0,THE QUEEN OF THE NIGHT
1994,0,RICE PEOPLE
1994,0,THREE COLOURS: RED
1994,0,THROUGH THE OLIVE TREES
1994,0,AN UNFORGETTABLE SUMMER
1994,0,THE VIOLIN PLAYER 
1994,0,THE WHORES
1995,0,ANGELS & INSECTS
